Namespace(gpu=3, seed=0, root_dir='/data', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/celeba/gb.csv', arch='resnet50', batch_size=128, num_epochs=50, lr=0.0001, weight_decay=0.1, momentum=0.9)
GB | Epoch 0 | Loss: 0.3907858729362488 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.39486047625541687 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.37498509883880615 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.3449258804321289 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.35185784101486206 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.3279202878475189 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.37536126375198364 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.33871838450431824 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.36101046204566956 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.3631010055541992 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.3413650691509247 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.33195462822914124 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.3418458104133606 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.3550736904144287 | Accuracy: 86.71875%
GB | Epoch 0 | Loss: 0.3101639449596405 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.31477493047714233 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.3514508605003357 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.33207136392593384 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.30254417657852173 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.3127381205558777 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.32997387647628784 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.335875004529953 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.3872801661491394 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.3443993628025055 | Accuracy: 88.28125%
GB | Epoch 0 | Loss: 0.313723623752594 | Accuracy: 93.75%
GB | Epoch 0 | Loss: 0.33206331729888916 | Accuracy: 89.0625%
GB | Epoch 0 | Loss: 0.3289397954940796 | Accuracy: 93.75%
GB | Epoch 0 | Loss: 0.3556196391582489 | Accuracy: 85.15625%
GB | Epoch 0 | Loss: 0.3319814205169678 | Accuracy: 90.625%
GB | Epoch 0 | Loss: 0.31755566596984863 | Accuracy: 89.84375%
GB | Epoch 0 | Loss: 0.3797703683376312 | Accuracy: 85.9375%
GB | Epoch 0 | Loss: 0.39306899905204773 | Accuracy: 82.8125%
GB | Epoch 0 | Loss: 0.29173755645751953 | Accuracy: 92.1875%
GB | Epoch 0 | Loss: 0.3180689215660095 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.33246728777885437 | Accuracy: 87.5%
GB | Epoch 0 | Loss: 0.3546466827392578 | Accuracy: 84.375%
GB | Epoch 0 | Loss: 0.37846681475639343 | Accuracy: 83.59375%
GB | Epoch 0 | Loss: 0.3323241174221039 | Accuracy: 91.40625%
