Namespace(gpu=0, seed=0, root_dir='/data/spucosun/3.0', label_noise=0.0, results_csv='/home/sjoshi/spuco_experiments/spuco_animals_clip/results.csv', stdout_file='2024-01-2414:38:12.344634-spuco_sun_lrmix.out', arch='cliprn50', batch_size=128, num_epochs=40, lr=0.0001, weight_decay=0.0001, momentum=0.9, wandb=False, wandb_project='spuco', wandb_entity=None, wandb_run_name='spuco_sun_lrmix')
ERM | Epoch 0 | Loss: 1.3586748838424683 | Accuracy: 42.96875%
ERM | Epoch 0 | Loss: 1.3664922714233398 | Accuracy: 38.28125%
ERM | Epoch 0 | Loss: 1.3575825691223145 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.357336163520813 | Accuracy: 48.148148148148145%
Group (0, 0) Accuracy: 13.0
Group (0, 1) Accuracy: 0.0
Group (0, 2) Accuracy: 33.333333333333336
Group (0, 3) Accuracy: 0.0
Group (1, 0) Accuracy: 100.0
Group (1, 1) Accuracy: 91.0
Group (1, 2) Accuracy: 66.66666666666667
Group (1, 3) Accuracy: 100.0
Group (2, 0) Accuracy: 0.0
Group (2, 1) Accuracy: 0.0
Group (2, 2) Accuracy: 13.0
Group (2, 3) Accuracy: 0.0
Group (3, 0) Accuracy: 66.66666666666667
Group (3, 1) Accuracy: 0.0
Group (3, 2) Accuracy: 0.0
Group (3, 3) Accuracy: 53.25
Epoch 0: ERM Val Worst-Group Accuracy: 0.0
Best Val Worst-Group Accuracy: 0.0
ERM | Epoch 1 | Loss: 1.3571099042892456 | Accuracy: 40.625%
ERM | Epoch 1 | Loss: 1.347509503364563 | Accuracy: 52.34375%
ERM | Epoch 1 | Loss: 1.365763545036316 | Accuracy: 36.71875%
ERM | Epoch 1 | Loss: 1.3516414165496826 | Accuracy: 51.5625%
ERM | Epoch 1 | Loss: 1.3556241989135742 | Accuracy: 48.4375%
ERM | Epoch 1 | Loss: 1.3481123447418213 | Accuracy: 49.21875%
ERM | Epoch 1 | Loss: 1.350956678390503 | Accuracy: 46.09375%
ERM | Epoch 1 | Loss: 1.359485149383545 | Accuracy: 46.09375%
ERM | Epoch 1 | Loss: 1.356900691986084 | Accuracy: 42.96875%
ERM | Epoch 1 | Loss: 1.3544868230819702 | Accuracy: 46.09375%
ERM | Epoch 1 | Loss: 1.3507184982299805 | Accuracy: 53.125%
ERM | Epoch 1 | Loss: 1.350124478340149 | Accuracy: 44.53125%
ERM | Epoch 1 | Loss: 1.352236032485962 | Accuracy: 49.21875%
ERM | Epoch 1 | Loss: 1.3529620170593262 | Accuracy: 48.4375%
ERM | Epoch 1 | Loss: 1.3494436740875244 | Accuracy: 56.25%
ERM | Epoch 1 | Loss: 1.3548228740692139 | Accuracy: 46.09375%
ERM | Epoch 1 | Loss: 1.3612534999847412 | Accuracy: 41.40625%
ERM | Epoch 1 | Loss: 1.352401852607727 | Accuracy: 41.40625%
ERM | Epoch 1 | Loss: 1.354708194732666 | Accuracy: 48.4375%
ERM | Epoch 1 | Loss: 1.347357988357544 | Accuracy: 50.0%
ERM | Epoch 1 | Loss: 1.3557944297790527 | Accuracy: 45.3125%
ERM | Epoch 1 | Loss: 1.3576397895812988 | Accuracy: 45.3125%
ERM | Epoch 1 | Loss: 1.3563135862350464 | Accuracy: 42.1875%
ERM | Epoch 1 | Loss: 1.3454216718673706 | Accuracy: 54.6875%
ERM | Epoch 1 | Loss: 1.3458082675933838 | Accuracy: 48.4375%
ERM | Epoch 1 | Loss: 1.3476083278656006 | Accuracy: 54.6875%
ERM | Epoch 1 | Loss: 1.3492025136947632 | Accuracy: 50.78125%
ERM | Epoch 1 | Loss: 1.350353479385376 | Accuracy: 47.65625%
ERM | Epoch 1 | Loss: 1.3428667783737183 | Accuracy: 53.90625%
ERM | Epoch 1 | Loss: 1.355757236480713 | Accuracy: 42.96875%
ERM | Epoch 1 | Loss: 1.3533530235290527 | Accuracy: 42.1875%
ERM | Epoch 1 | Loss: 1.3483787775039673 | Accuracy: 43.75%
ERM | Epoch 1 | Loss: 1.344041109085083 | Accuracy: 55.46875%
ERM | Epoch 1 | Loss: 1.3511261940002441 | Accuracy: 42.1875%
ERM | Epoch 1 | Loss: 1.3536351919174194 | Accuracy: 45.3125%
ERM | Epoch 1 | Loss: 1.352728009223938 | Accuracy: 42.96875%
ERM | Epoch 1 | Loss: 1.3464767932891846 | Accuracy: 45.3125%
ERM | Epoch 1 | Loss: 1.355482816696167 | Accuracy: 41.40625%
ERM | Epoch 1 | Loss: 1.341219186782837 | Accuracy: 50.0%
ERM | Epoch 1 | Loss: 1.3455569744110107 | Accuracy: 49.21875%
ERM | Epoch 1 | Loss: 1.3429549932479858 | Accuracy: 51.5625%
ERM | Epoch 1 | Loss: 1.3515652418136597 | Accuracy: 44.53125%
ERM | Epoch 1 | Loss: 1.3463616371154785 | Accuracy: 51.5625%
